message,label
You've won a $1000 gift card! Click here to claim.,scam
Are we still on for lunch today?,not-scam
Update your account information to avoid suspension.,scam
Hey, just checking in. How are you?,not-scam
Confirm your billing address to avoid late fees.,scam
Let's catch up soon!,not-scam
Your package is on hold. Provide details now.,scam
Don't forget our meeting tomorrow.,not-scam
Click to get your free iPhone now!,scam
Can you send me the report by tonight?,not-scam
Congratulations! You've been selected for a $500 Amazon gift card. Click here!,scam
Your account has been suspended. Verify your info here to reactivate.,scam
Final warning! Your Netflix payment failed. Update your info now.,scam
Unusual login detected. Reset your password immediately.,scam
We have received your tax return. You are eligible for a refund. Click here.,scam
Your parcel is being held. Pay a small fee to release it.,scam
Get rich quick! Invest in crypto with 0 risk. Start now!,scam
This is Microsoft support. Your computer is infected. Call us now!,scam
Confirm your PayPal login or your account will be closed.,scam
You’ve been chosen to win a free iPhone! Just fill out this survey.,scam
Hey, are you still coming to the gym later?,not-scam
Don’t forget the team meeting at 10am tomorrow.,not-scam
Happy birthday! Hope you have a great day 🎉,not-scam
Can you send me that PDF before 5pm?,not-scam
Just landed. I’ll text you once I’m home.,not-scam
Reminder: Your dentist appointment is tomorrow at 3pm.,not-scam
Let’s catch up soon! Been a while.,not-scam
Here is the link to the presentation we discussed.,not-scam
Thanks for your feedback! We’ve updated the file.,not-scam
Pizza night at my place tonight? 🍕,not-scam
